,UNITID,Cluster
1121,147536,3
1122,147590,3
1123,147642,1
1124,147660,3
1125,147679,3
1127,147703,3
1128,147749,4
1129,147767,3
1130,147776,3
1131,147800,6
1132,147819,1
1133,147828,3
1134,147916,6
1135,147970,1
1136,148007,6
1137,148098,1
1138,148131,3
1139,148140,6
1140,148177,0
1141,148256,6
1142,148292,6
1143,148335,3
1144,148380,6
1145,148399,4
1146,148405,3
1147,148487,3
1148,148496,3
1149,148511,4
1150,148575,3
1151,148584,3
1152,148593,3
1153,148627,3
1154,148654,3
1155,148672,6
1156,148821,6
1157,148849,3
1158,148876,2
1160,148937,6
1161,148955,4
1163,148991,6
1164,149028,3
1165,149204,1
1166,149222,3
1167,149231,3
1168,149310,4
1169,149329,3
1170,149365,6
1171,149499,1
1172,149505,3
1173,149514,3
1174,149532,2
1175,149550,1
1176,149639,3
1177,149727,2
1178,149763,3
1179,149772,3
1180,149781,3
1181,149842,6
1182,150048,6
1183,150066,3
1184,150075,1
1185,150136,3
1186,150145,3
1187,150163,3
1188,150172,3
1190,150251,4
1192,150303,1
1193,150400,3
1194,150428,1
1195,150437,1
1196,150455,3
1197,150534,3
1198,150604,3
1199,150668,3
1200,150677,3
1201,150695,1
1202,150710,1
1203,150756,3
1204,150765,1
1205,150774,3
1206,150853,1
1207,150941,3
1208,150987,2
1209,151102,3
1210,151111,3
1211,151166,4
1212,151263,3
1213,151290,3
1214,151306,3
1215,151324,3
1216,151333,3
1217,151342,3
1218,151351,3
1219,151360,3
1220,151379,3
1221,151388,6
1222,151458,3
1223,151467,4
1224,151494,0
1225,151500,0
1226,151519,0
1227,151537,4
1228,151564,1
1229,151607,1
1230,151616,4
1231,151625,4
1232,151652,1
1233,151661,6
1234,151777,3
1235,151786,3
1236,151801,3
1237,151810,4
1238,151829,1
1240,151874,1
1241,151944,4
1242,151962,1
1243,152044,1
1244,152080,3
1245,152099,3
1246,152150,1
1247,152248,3
1248,152266,3
1249,152275,1
1250,152309,1
1251,152318,3
1252,152327,1
1253,152336,3
1254,152363,3
1255,152381,3
1256,152390,3
1257,152415,4
1259,152497,4
1260,152530,3
1261,152567,3
1262,152600,3
1263,152628,1
1264,152637,6
1265,152673,3
1266,152798,3
1267,152822,3
1268,152992,3
1269,153001,3
1270,153074,1
1271,153083,1
1272,153092,1
1273,153108,3
1274,153126,3
1275,153144,3
1276,153162,3
1277,153171,1
1278,153214,6
